Year,Citations Per Year,APT,Rank,ga_gender
2020,0.5,0.05,26193,male
2020,5.5,0.75,916,male
2020,4,0.75,484,male
2020,0.5,0.25,11474,male
2020,1.5,0.05,0,female
2020,2,0.75,673,male
2020,1,0.25,1391,male
2020,6.5,0.75,1494,female
2020,4,0.25,23150,male
2020,0,0.05,0,male
2020,3,0.75,1122,male
2020,2.5,0.05,642,female
2020,2.5,0.25,2156,female
2020,6.5,0.75,73,male
2020,3,0.05,1247,male
2020,2.5,0.05,2479,male
2020,3,0.75,203,female
2020,2.5,0.5,4434,male
2020,1.5,0.05,4393,male
2020,0.5,0.05,2384,female
2020,0.5,0.05,1133,female
2020,16,0.95,313,male
2020,2.5,0.5,3022,female
